Codigo,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,3,7,0,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,7,0,0,4,0,4,0,2,2,0,0,2,0,0,5,2,3,0,0,0,4,0,0,0,1,10,0,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,3,0,2,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,7,0,0,0,4,2,0,0,0,0,0,0,1,1,0,2,4,0,0,0,0,0,0,0,0,8,0,0,10,0,10,20,4,0,0,0,10,0,7,2,8,10,0,0,0,0,0,0,0,0,0,0,11,0,0,0,10,0,0,10,0,0,0,0,0,6,0,1,20,0,0,0,0,0,0,11,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,1,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,2,0,2,5,0,6,1,2,0,1,1,3,7,2,4,2,0,2,0,5,0,0,6,0,0,0,0,0,0,0,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
46,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0,0,6,0,0,0,0,0,0,2,14,0,0,0,4,0,0,0,0,0,10,4,3,0,0,1,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,2,1,0,8,0,0,0,0,1,0,2,0,4,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,3,0,13,2,0,0,2,15,0,0,0,0,0,10,0,0,0,0,2,0,8,0,0,0,0,0,0,0,10,10,0,0,0,0,0,8,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,8,4,4,0,0,0,0,10,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,1,0,0,0,0,0,0,0,5,0,0,0,5,0,0,4,0,8,0,0,1,9,0,0,1,0,14,2,0,2,1,4,0,0,0,6,0,0,0,0,0,5,0,0,0,5,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,6,0,0,0,10,20,0,0,0,0,7,5,0,5,0,0,0,10,0,0,5,0,0,0,0,0,0,0,5,0,0,20,0,0,5,0,0,5,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,10,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,5,0,5,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,1,0,1,1,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,15,0,0,0,0,9,0,0,0,0,0,0,0,6,1,0,0,0,10,0,9,20,0,0,0,0,0,0,0,9,1,9,0,9,9,9,0,0,0,0,9,5,9,9,9,0,0,0,9,18,0,0,27,12,9
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,5,0,4,0,2,3,2,4,5,0,0,0,0,0,5,0,0,3,0,2,6,3,0,0,7,4,2,0,2,0,1,3,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,1,6
53,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,11,0,0,0,0,0,0,5,0,0,0,0,4,0,0,2,7,0,4,0,0,0,2,0,0,3,0,4,0,0,2,0,0,0,5,0,3,0,2,0,0,0,0,4,0,6,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,1,0,0,2,0,0,0,1,0,6,0,4,0,0,0,4,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,3,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
45,0,1,0,0,0,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,1,2,0,1,0,1,3,2,1,0,1,0,2,0,1,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,8,0,5,0,0,3,6,3,0,0,0,6,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,6,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,10,0,2,10,0,0,12,0,0,0,0,6,0,0,1,0,0,6,0,6,2,0,0,2,0,0,8,0,0,0,0,8,4,0,0,0,0,0,0,2,0,0,0,5,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,10,0,0,0,5,0,0,0,10,0,0,0,15,0,0,0,10,0,0,0,0,5,0,0,0,5,0,0,0,0,10,0,4,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,5,10,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,6,0,8,6,0,10,0,0,10,0,0,0,10,4,0,0,0,0,0,1,0,0,0,4,0,2,6,0,0,0,0,0,6,0,6,0,0,0,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,2,4,0,0,0,0,0,4,0,0
